;Name;Latitude;Longitude;Population;Timezone;same_name
46063;Sherwood;45.35651;-122.8401;19283;West Coast;City without UK name
46079;Bryant;48.23899;-122.15792;1870;West Coast;City without UK name
46080;Chehalis;46.66205;-122.96402;7391;West Coast;City without UK name
46081;Clyde Hill;47.63177;-122.2179;3230;West Coast;City without UK name
46082;Fife Heights;47.25899;-122.34568;2137;West Coast;City without UK name
46083;La Conner;48.38871;-122.49628;927;West Coast;City without UK name
46084;Minnehaha;45.65901;-122.64871;9771;West Coast;City without UK name
46085;Mount Vista;45.73428;-122.63288;7850;West Coast;City without UK name
46086;Seattle;47.60621;-122.33207;737015;West Coast;City without UK name
46087;West Pasco;46.24541;-119.18279;3739;West Coast;City without UK name
46088;White Swan;46.3829;-120.73118;793;West Coast;City without UK name
46102;Dayton;43.54972;-70.57555;1805;East Coast;City without UK name
46103;Hidden Trails;33.1395;-117.02295;750;West Coast;City without UK name
46105;Peppermill Village;38.89472;-76.88654;4895;East Coast;City without UK name
46106;Boulevard Gardens;26.12326;-80.17997;1274;East Coast;City without UK name
46107;High Point;28.54687;-82.52468;3686;East Coast;City without UK name
46108;Braintree;42.20384;-71.00215;37297;East Coast;City with UK name
46109;Mansfield Center;42.02262;-71.21808;7360;East Coast;City without UK name
46110;Pymatuning Central;41.58546;-80.4796;2269;East Coast;City without UK name
46111;Rising Sun-Lebanon;39.09977;-75.50488;3391;East Coast;City without UK name
46112;Jefferson Valley-Yorktown;41.31797;-73.80066;14142;East Coast;City without UK name
46113;East Williston;29.38896;-82.41731;694;East Coast;City without UK name
46114;Inverness Highlands South;28.80055;-82.3371;6542;East Coast;City without UK name
46115;New Port Richey East;28.26027;-82.69261;10036;East Coast;City without UK name
46116;Challenge-Brownsville;39.46447;-121.26338;1148;West Coast;City without UK name
46121;North Fort Lewis;47.12131;-122.59452;2699;West Coast;City without UK name
46122;Summit View;47.13632;-122.35202;7236;West Coast;City without UK name
46124;Waterford;41.3417;-72.13597;19281;East Coast;City without UK name
46539;Evarts;36.86592;-83.19045;962;East Coast;City without UK name
46541;Goshen;38.40312;-85.57413;909;East Coast;City without UK name
46542;Ironville;38.45647;-82.69238;288649;East Coast;City without UK name
46543;Jackson;37.82508;-84.87079;2356;East Coast;City without UK name
46545;North Corbin;36.96064;-84.09326;1773;East Coast;City without UK name
46547;Pine Knot;36.65091;-84.43855;1621;East Coast;City without UK name
46548;Ryland Heights;38.95756;-84.463;1042;East Coast;City without UK name
46549;Winchester;37.99008;-84.17965;18446;East Coast;City with UK name
46567;Brooklyn;39.23039;-76.60219;13252;East Coast;City without UK name
46568;Chesapeake City;39.53095;-75.80744;691;East Coast;City without UK name
46569;Fairland;39.07622;-76.95775;23681;East Coast;City without UK name
46570;Gambrills;39.06705;-76.66524;2800;East Coast;City without UK name
46571;Huntingtown;38.61595;-76.61302;2587;East Coast;City without UK name
46572;Perryville;39.56011;-76.07134;4437;East Coast;City without UK name
46573;Rawlings;39.53453;-78.88336;693;East Coast;City without UK name
46574;Sharptown;38.54262;-75.71938;645;East Coast;City without UK name
46575;Snow Hill;38.17706;-75.3927;2086;East Coast;City without UK name
46613;Archer Lodge;35.69404;-78.37556;4708;East Coast;City without UK name
46614;Bakersville;36.01567;-82.15874;452;East Coast;City without UK name
46615;Bethel;35.8071;-77.37886;1620;East Coast;City without UK name
46616;Biscoe;35.35986;-79.77976;1690;East Coast;City without UK name
46617;Carolina Beach;34.03517;-77.8936;6137;East Coast;City without UK name
46618;Cherryville;35.37874;-81.37897;5974;East Coast;City without UK name
46619;Chocowinity;35.51266;-77.10051;821;East Coast;City without UK name
46620;Claremont;35.71458;-81.14619;1365;East Coast;City without UK name
46621;Dallas;35.31653;-81.17619;4622;East Coast;City without UK name
46622;Drexel;35.75791;-81.60426;1866;East Coast;City without UK name
46623;Dunn;35.30627;-78.6089;9723;East Coast;City without UK name
46624;Durham;35.99403;-78.89862;257636;East Coast;City with UK name
46625;Faison;35.11628;-78.1361;985;East Coast;City without UK name
46626;Foxfire;35.17543;-79.57143;972;East Coast;City without UK name
46627;Hightsville;34.26961;-77.93165;739;East Coast;City without UK name
46628;Mamers;35.41682;-78.93335;826;East Coast;City without UK name
46629;Newport;34.78655;-76.85911;4723;East Coast;City with UK name
46630;Pumpkin Center;35.5193;-81.14119;2107;East Coast;City without UK name
46631;Red Oak;36.03849;-77.90637;3424;East Coast;City without UK name
46632;River Road;35.50683;-76.99078;4394;East Coast;City without UK name
46633;Roper;35.87794;-76.61522;570;East Coast;City without UK name
46634;Rosman;35.14372;-82.82124;573;East Coast;City without UK name
46635;Sea Breeze;34.06323;-77.89137;1969;East Coast;City without UK name
46636;Skippers Corner;34.346;-77.90249;2785;East Coast;City without UK name
46637;Southern Shores;36.13905;-75.73157;2867;East Coast;City without UK name
46638;Trinity;35.89458;-79.99087;6669;East Coast;City without UK name
46639;Tryon;35.33986;-81.32203;1721;East Coast;City without UK name
46640;Yaupon Beach;33.9049;-78.07833;922;East Coast;City without UK name
46641;Echelon;39.84845;-74.99572;10743;East Coast;City without UK name
46642;Wildwood Crest;38.97484;-74.8335;3182;East Coast;City without UK name
46643;Darrtown;39.49561;-84.66134;516;East Coast;City without UK name
46644;Groesbeck;39.22311;-84.58689;6788;East Coast;City without UK name
46645;Harveysburg;39.50367;-84.01049;551;East Coast;City without UK name
46646;Ironton;38.53675;-82.68294;10900;East Coast;City without UK name
46647;Millersport;39.90006;-82.53405;1049;East Coast;City without UK name
46648;Monroe;39.44034;-84.36216;13393;East Coast;City without UK name
46649;Park Layne;39.88645;-84.03966;4343;East Coast;City without UK name
46650;Rio Grande;38.87952;-82.38043;854;East Coast;City without UK name
46651;Seaman;38.94201;-83.57242;924;East Coast;City without UK name
46652;South Bloomfield;39.7184;-82.98685;1851;East Coast;City without UK name
46653;Thornville;39.89645;-82.42015;997;East Coast;City without UK name
46669;Chester;39.84967;-75.35707;34092;East Coast;City with UK name
46670;East Prospect;39.97204;-76.51997;936;East Coast;City without UK name
46671;Gettysburg;39.83093;-77.2311;7608;East Coast;City without UK name
46672;Oliver;39.91869;-79.71782;2535;East Coast;City without UK name
46673;Spring Grove;39.87454;-76.86581;2168;East Coast;City without UK name
46674;Wakefield;39.77372;-76.17912;609;East Coast;City with UK name
46675;Waynesboro;39.75593;-77.57777;10848;East Coast;City without UK name
46676;Winterstown;39.83538;-76.61802;625;East Coast;City without UK name
46677;Bamberg;33.2971;-81.03482;3383;East Coast;City without UK name
46678;Bonneau;33.30545;-79.95786;505;East Coast;City without UK name
46679;Edisto;33.47654;-80.8987;2559;East Coast;City without UK name
46680;Hilton Head Island;32.19382;-80.73816;40512;East Coast;City without UK name
46681;Pinopolis;33.22656;-80.03758;948;East Coast;City without UK name
46682;Yemassee;32.69018;-80.85066;981;East Coast;City without UK name
46688;Dayton;35.49396;-85.01245;7384;East Coast;City without UK name
46691;Oneida;36.49813;-84.51272;3709;East Coast;City without UK name
46692;Petros;36.09591;-84.44243;583;East Coast;City without UK name
46736;Amelia Court House;37.34293;-77.98056;1099;East Coast;City without UK name
46737;Belmont;39.06483;-77.50999;5966;East Coast;City with UK name
46738;Blue Ridge Shores;38.10514;-78.02472;813;East Coast;City without UK name
46739;Bridgewater;38.38207;-78.9767;5889;East Coast;City without UK name
46740;Brightwood;38.42152;-78.19361;1001;East Coast;City without UK name
46741;Collinsville;36.71514;-79.91532;7335;East Coast;City without UK name
46742;Falls Church;38.88233;-77.17109;13892;East Coast;City without UK name
46743;Hampden Sydney;37.24237;-78.45972;1450;East Coast;City without UK name
46744;Ivy;38.05653;-78.59668;905;East Coast;City without UK name
46745;Jarratt;36.81432;-77.46831;619;East Coast;City without UK name
46746;Jolivue;38.10985;-79.07308;1129;East Coast;City without UK name
46747;Lake Monticello;37.9232;-78.33473;9920;East Coast;City without UK name
46748;Lexington;37.78402;-79.44282;7262;East Coast;City without UK name
46749;Saltville;36.8815;-81.76206;2031;East Coast;City without UK name
46750;Timberville;38.63901;-78.77391;2603;East Coast;City without UK name
46751;Wakefield;36.96821;-76.98968;884;East Coast;City with UK name
46752;Anmoore;39.25676;-80.29231;757;East Coast;City without UK name
46753;Beaver;37.74781;-81.14352;1308;East Coast;City without UK name
46754;Bolt;37.76233;-81.41233;548;East Coast;City without UK name
46755;Charleston;38.34982;-81.63262;49736;East Coast;City without UK name
46756;Gauley Bridge;38.16844;-81.19483;595;East Coast;City without UK name
46757;Hinton;37.67401;-80.88925;2528;East Coast;City with UK name
46758;Inwood;39.35788;-78.04;2954;East Coast;City without UK name
46759;Lubeck;39.23535;-81.63124;1311;East Coast;City without UK name
46760;Lumberport;39.37398;-80.34842;863;East Coast;City without UK name
46761;Masontown;39.55231;-79.79784;546;East Coast;City without UK name
46762;Middlebourne;39.4923;-80.90372;790;East Coast;City without UK name
46763;Peterstown;37.39734;-80.79924;645;East Coast;City without UK name
46764;Williamson;37.67427;-82.27736;3003;East Coast;City without UK name
46765;Bremen;39.70173;-82.42682;1437;East Coast;City without UK name
46767;Cos Cob;41.03343;-73.59957;6770;East Coast;City without UK name
46768;Guilford;45.16894;-69.38449;903;East Coast;City without UK name
46769;Clyde;43.08423;-76.8694;2006;East Coast;City without UK name
46770;Hartford;41.76371;-72.68509;124006;East Coast;City with UK name
46771;Plainville;41.67454;-72.85816;17328;East Coast;City without UK name
46826;Cohasset;42.24177;-70.80365;7388;East Coast;City without UK name
46827;Easthampton;42.26676;-72.66898;16611;East Coast;City without UK name
46828;Edgartown;41.38901;-70.51336;4306;East Coast;City without UK name
46829;Essex;42.63204;-70.78283;1471;East Coast;City without UK name
46830;Goshen;42.44036;-72.79954;937;East Coast;City without UK name
46831;Hinsdale;42.4387;-73.12538;1905;East Coast;City without UK name
46832;Housatonic;42.25425;-73.36622;1109;East Coast;City without UK name
46833;Leominster;42.52509;-71.75979;41569;East Coast;City with UK name
46834;Lexington;42.44732;-71.2245;31394;East Coast;City without UK name
46835;Middlefield;42.34842;-73.0151;551;East Coast;City without UK name
46836;Raynham Center;41.92371;-71.05227;4100;East Coast;City without UK name
46837;Salem;42.51954;-70.89672;42869;East Coast;City without UK name
46838;South Boston;42.33343;-71.04949;571281;East Coast;City without UK name
46839;Tewksbury;42.61065;-71.23422;29326;East Coast;City without UK name
46840;Truro;41.99344;-70.04975;2123;East Coast;City with UK name
46841;Westhampton;42.30287;-72.77454;1494;East Coast;City without UK name
46842;Weweantic;41.73538;-70.73198;2105;East Coast;City without UK name
46843;Winchendon;42.6862;-72.04397;4213;East Coast;City without UK name
46844;Augusta;44.31062;-69.77949;18471;East Coast;City without UK name
46845;Brooklin;44.26619;-68.56919;874;East Coast;City without UK name
46846;Castine;44.38785;-68.79975;1029;East Coast;City without UK name
46847;Falmouth Foreside;43.7348;-70.20783;1511;East Coast;City without UK name
46848;Fort Fairfield;46.77227;-67.83391;1825;East Coast;City without UK name
46849;Gorham;43.67952;-70.44422;6882;East Coast;City without UK name
46850;Lincoln;45.36228;-68.50502;2884;East Coast;City with UK name
46851;Medway;45.60894;-68.53086;1548;East Coast;City without UK name
47846;Monroe;44.61507;-69.01809;917;East Coast;City without UK name
47847;Parsonsfield;43.72702;-70.92868;1647;East Coast;City without UK name
47848;Poland;44.06063;-70.39367;5314;East Coast;City without UK name
47849;South Bristol;43.86397;-69.56116;933;East Coast;City without UK name
47850;Starks;44.73062;-69.96617;601;East Coast;City without UK name
47851;Steuben;44.51098;-67.96662;1171;East Coast;City without UK name
47852;Sumner;44.39201;-70.43839;888;East Coast;City without UK name
47853;Van Buren;47.15727;-67.9353;1937;East Coast;City without UK name
47854;Westfield;46.57032;-67.92253;581;East Coast;City with UK name
47855;Winterport;44.63785;-68.84504;1340;East Coast;City without UK name
47912;Bath;44.16701;-71.9662;951;East Coast;City with UK name
47913;Conway;43.97924;-71.12035;1823;East Coast;City without UK name
47914;Durham;43.13397;-70.92645;10345;East Coast;City with UK name
47915;Hill;43.52424;-71.70091;1057;East Coast;City with UK name
47916;Hooksett;43.09675;-71.46507;4147;East Coast;City without UK name
47917;Lempster;43.23841;-72.21064;1034;East Coast;City without UK name
47918;Newington;43.10009;-70.83367;825;East Coast;City with UK name
47919;Webster;43.32897;-71.71786;1682;East Coast;City without UK name
47920;Woodstock;43.97757;-71.68508;1213;East Coast;City with UK name
47921;Alpha;40.66704;-75.1574;2303;East Coast;City without UK name
47922;Bogota;40.87621;-74.02986;8400;East Coast;City without UK name
47923;Boonton;40.9026;-74.4071;8441;East Coast;City without UK name
47924;Dunellen;40.58927;-74.47182;7431;East Coast;City without UK name
47925;Griggstown;40.43788;-74.61321;819;East Coast;City without UK name
47926;Hamburg;41.15343;-74.57627;3155;East Coast;City without UK name
47927;Harrington Park;40.98371;-73.97986;4823;East Coast;City without UK name
47928;Hillsdale;41.0026;-74.04042;10559;East Coast;City without UK name
47929;Jersey City;40.72816;-74.07764;264290;East Coast;City without UK name
47930;Keyport;40.43316;-74.19959;7145;East Coast;City without UK name
47931;Montclair;40.82593;-74.20903;39701;East Coast;City without UK name
47932;Roebling;40.11594;-74.78627;3715;East Coast;City without UK name
47933;Saddle River;41.03176;-74.10209;3255;East Coast;City without UK name
53871;Selbyville;38.46039;-75.22074;2397;East Coast;City without UK name
53872;Apopka;28.67617;-81.51186;48382;East Coast;City without UK name
53873;Bartow;27.89641;-81.84314;18972;East Coast;City without UK name
53874;Bonita Springs;26.33981;-81.7787;51704;East Coast;City without UK name
53875;Boynton Beach;26.52535;-80.06643;73966;East Coast;City without UK name
53876;Christmas;28.53639;-81.01756;1146;East Coast;City without UK name
53877;Country Club;25.94815;-80.317;47105;East Coast;City without UK name
53878;Crooked Lake Park;27.82919;-81.58397;1722;East Coast;City without UK name
53879;De Leon Springs;29.11989;-81.35286;2614;East Coast;City without UK name
53880;Deltona;28.90054;-81.26367;88474;East Coast;City without UK name
53881;Doctor Phillips;28.44945;-81.49229;10981;East Coast;City without UK name
53882;Fanning Springs;29.59079;-82.92929;985;East Coast;City without UK name
53883;Fort Meade;27.75225;-81.80175;5975;East Coast;City without UK name
53884;Fountainebleau;25.77288;-80.34783;59764;East Coast;City without UK name
53885;Hunters Creek;28.36056;-81.42229;14321;East Coast;City without UK name
53886;Inverness;28.83582;-82.33037;7233;East Coast;City with UK name
53888;Lake Hamilton;28.04446;-81.62785;1346;East Coast;City without UK name
53890;Manatee Road;29.51302;-82.91429;2244;East Coast;City without UK name
53891;Mangonia Park;26.76034;-80.07365;1979;East Coast;City without UK name
53892;New Port Richey;28.24418;-82.71927;15842;East Coast;City without UK name
53893;North Key Largo;25.26734;-80.32339;1244;East Coast;City without UK name
53894;Oak Ridge;28.47112;-81.42452;22685;East Coast;City without UK name
53895;Ojus;25.94843;-80.1506;18036;East Coast;City without UK name
53896;Page Park;26.57924;-81.86203;514;East Coast;City without UK name
53897;Plantation Mobile Home Park;26.70312;-80.13227;1260;East Coast;City without UK name
53898;Samoset;27.46948;-82.54149;3854;East Coast;City without UK name
53899;San Antonio;28.33611;-82.27453;1308;East Coast;City without UK name
53900;The Villages;28.93408;-81.95994;51442;East Coast;City without UK name
53901;Wahneta;27.9528;-81.72702;5091;East Coast;City without UK name
53902;Warm Mineral Springs;27.05978;-82.26009;5061;East Coast;City without UK name
53903;Weeki Wachee Gardens;28.53361;-82.62954;1146;East Coast;City without UK name
53904;Wekiwa Springs;28.69861;-81.42563;21998;East Coast;City without UK name
53905;Weston;26.10037;-80.39977;69959;East Coast;City with UK name
53906;Arcade;34.07789;-83.56155;1799;East Coast;City without UK name
53907;Darien;31.37023;-81.43399;1858;East Coast;City without UK name
53908;Druid Hills;33.78038;-84.33604;14568;East Coast;City without UK name
53909;Homerville;31.0366;-82.74708;2480;East Coast;City without UK name
53910;Montezuma;32.30516;-84.02741;3189;East Coast;City without UK name
53911;Nelson;34.38204;-84.37103;1347;East Coast;City with UK name
53912;Nicholls;31.51742;-82.63486;3331;East Coast;City without UK name
53913;Ocilla;31.59447;-83.2513;3387;East Coast;City without UK name
53914;Omega;31.34102;-83.5935;1230;East Coast;City without UK name
53915;Oxford;33.619;-83.86741;2197;East Coast;City with UK name
53916;Redan;33.74538;-84.13158;33015;East Coast;City without UK name
53917;Skidaway Island;31.93494;-81.04705;8341;East Coast;City without UK name
53918;Warner Robins;32.61574;-83.62664;73490;East Coast;City without UK name
53955;Bellefonte;38.49258;-82.69016;866;East Coast;City without UK name
53957;Tinton Falls;40.30428;-74.10042;17772;East Coast;City without UK name
53958;Wyckoff;41.00954;-74.17292;17124;East Coast;City without UK name
53959;Adams Center;43.86006;-76.00548;1568;East Coast;City without UK name
53960;Albion;43.24645;-78.19363;5998;East Coast;City without UK name
53961;Amagansett;40.97371;-72.14369;1165;East Coast;City without UK name
53962;Angola;42.63839;-79.02782;2114;East Coast;City without UK name
53963;Ardsley;41.01065;-73.84375;4638;East Coast;City without UK name
53964;Arlington;41.69593;-73.8968;4061;East Coast;City with UK name
53965;Bellerose Terrace;40.72066;-73.72596;2198;East Coast;City without UK name
53966;Centerport;43.0409;-76.59272;5457;East Coast;City without UK name
53967;Croton-on-Hudson;41.20843;-73.89125;8269;East Coast;City without UK name
53968;Delhi;42.27814;-74.91599;3157;East Coast;City without UK name
53969;Depew;42.90395;-78.69225;15146;East Coast;City without UK name
53970;East Elmhurst;40.76121;-73.86514;23150;East Coast;City without UK name
53971;Lyndon;42.30507;-78.35363;683;East Coast;City without UK name
53972;Hannawa Falls;44.61228;-74.97103;1042;East Coast;City without UK name
53973;Hastings-on-Hudson;40.99454;-73.87875;8014;East Coast;City without UK name
53974;Hempstead;40.70621;-73.61874;55547;East Coast;City without UK name
53975;Hillside;40.70788;-73.7868;24808;East Coast;City with UK name
53976;Jackson Heights;40.75566;-73.88541;67067;East Coast;City without UK name
53977;Kensington;40.64621;-73.97069;39120;East Coast;City with UK name
53978;La Fargeville;44.19477;-75.96605;608;East Coast;City without UK name
53979;Lindley;42.02841;-77.13969;1954;East Coast;City without UK name
53980;Liverpool;43.10646;-76.2177;2294;East Coast;City with UK name
53981;Middletown;41.44593;-74.42293;27812;East Coast;City without UK name
53982;New Cassel;40.75899;-73.56957;14059;East Coast;City without UK name
53983;Nissequogue;40.90399;-73.19789;1760;East Coast;City without UK name
53984;North Massapequa;40.70093;-73.46207;17886;East Coast;City without UK name
53985;Olean;42.07756;-78.42974;13870;East Coast;City without UK name
53986;Palmyra;43.06395;-77.23332;3413;East Coast;City without UK name
53987;Parishville;44.62867;-74.8138;647;East Coast;City without UK name
53988;Port Washington;40.82566;-73.69819;15846;East Coast;City without UK name
53989;Rochester;43.15478;-77.61556;209802;East Coast;City with UK name
53990;Rosebank;40.61399;-74.06625;4152;East Coast;City without UK name
53991;Rye;40.98065;-73.68374;16046;East Coast;City with UK name
53992;Shokan;41.97343;-74.21209;1183;East Coast;City without UK name
53993;Shoreham;40.95732;-72.9076;535;East Coast;City with UK name
53994;Sloatsburg;41.15454;-74.19292;3135;East Coast;City without UK name
53995;Sparkill;41.03121;-73.92708;1565;East Coast;City without UK name
53996;Steinway;40.77455;-73.90375;1648;East Coast;City without UK name
53997;Thiells;41.21065;-74.01764;5032;East Coast;City without UK name
53998;Tompkinsville;40.63812;-74.07795;8343;East Coast;City without UK name
53999;Weston Mills;42.0759;-78.37252;1472;East Coast;City without UK name
54000;Wilmington;44.38838;-73.81542;937;East Coast;City without UK name
54001;Yaphank;40.83677;-72.91705;5945;East Coast;City without UK name
54002;Arlington;40.89366;-83.65021;1453;East Coast;City with UK name
54003;Ballville;41.32783;-83.13214;2976;East Coast;City without UK name
54004;Beechwood Trails;40.02367;-82.65072;3020;East Coast;City without UK name
54005;Brewster;40.707;-81.59818;2169;East Coast;City without UK name
54006;Campbell;41.07839;-80.59924;7982;East Coast;City without UK name
54007;Cardington;40.50062;-82.89351;2047;East Coast;City with UK name
54008;Clinton;40.92672;-81.6304;1214;East Coast;City without UK name
54009;Cridersville;40.65422;-84.15078;1828;East Coast;City without UK name
54010;Doylestown;40.97005;-81.69652;3075;East Coast;City without UK name
54011;Euclid;41.5931;-81.52679;47676;East Coast;City without UK name
54012;Gambier;40.37562;-82.3971;2437;East Coast;City without UK name
54013;Geneva-on-the-Lake;41.8595;-80.95398;1214;East Coast;City without UK name
54014;Lagrange;41.23728;-82.11987;2103;East Coast;City without UK name
54015;Leipsic;41.09838;-83.98467;2032;East Coast;City without UK name
54016;Lordstown;41.16561;-80.85758;3300;East Coast;City without UK name
54017;Loudonville;40.63534;-82.23321;2625;East Coast;City without UK name
54018;Metamora;41.71172;-83.90966;613;East Coast;City without UK name
54019;Middlefield;41.462;-81.07371;2693;East Coast;City without UK name
54020;Millersburg;40.55451;-81.91792;3151;East Coast;City without UK name
54021;Orrville;40.84367;-81.76402;8491;East Coast;City without UK name
54022;Pandora;40.94811;-83.96105;1149;East Coast;City without UK name
54023;Roaming Shores;41.64311;-80.82342;1477;East Coast;City without UK name
54024;Russells Point;40.47116;-83.89272;1360;East Coast;City without UK name
54025;Twinsburg;41.31256;-81.44011;18872;East Coast;City without UK name
54026;Waterville;41.50089;-83.71827;5514;East Coast;City without UK name
54027;Wayne;41.30144;-83.47354;898;East Coast;City without UK name
54028;Allensville;40.53591;-77.81694;503;East Coast;City without UK name
54029;Atlas;40.79981;-76.42773;809;East Coast;City without UK name
54030;Bally;40.40232;-75.58713;1103;East Coast;City without UK name
54031;Ben Avon;40.50812;-80.08311;1777;East Coast;City without UK name
54032;Berwick;41.05453;-76.23327;10223;East Coast;City without UK name
54033;Birdsboro;40.26454;-75.80409;5159;East Coast;City without UK name
54034;Braddock;40.4034;-79.86838;2128;East Coast;City without UK name
54035;Browntown;41.3098;-75.78742;1418;East Coast;City without UK name
54036;Canadohta Lake;41.81367;-79.83477;516;East Coast;City without UK name
54037;Chester Springs;40.0951;-75.61687;7520;East Coast;City without UK name
54038;Courtdale;41.28008;-75.91214;735;East Coast;City without UK name
54039;Croydon;40.08733;-74.9035;9950;East Coast;City with UK name
54040;Deer Lake;40.62509;-76.06049;673;East Coast;City without UK name
54041;Denver;40.23315;-76.13717;3875;East Coast;City without UK name
54042;Eagleville;40.15955;-75.40824;4800;East Coast;City without UK name
54043;East Greenville;40.40649;-75.50185;2985;East Coast;City without UK name
54044;East McKeesport;40.38312;-79.80644;2108;East Coast;City without UK name
54045;Economy;40.60007;-80.22478;9363;East Coast;City without UK name
54046;Fernway;40.69479;-80.13089;12414;East Coast;City without UK name
54047;Fleetwood;40.45398;-75.81798;4085;East Coast;City with UK name
54048;Forty Fort;41.27897;-75.87825;4126;East Coast;City without UK name
54049;Girard;42.00033;-80.31812;3023;East Coast;City without UK name
54050;Glenshaw;40.53285;-79.96755;8981;East Coast;City without UK name
54051;Halfway House;40.28204;-75.64324;2881;East Coast;City without UK name
54052;Hatfield;40.27983;-75.29934;3306;East Coast;City with UK name
54053;Ingram;40.44618;-80.06755;3281;East Coast;City without UK name
54054;Jamestown;41.48478;-80.43757;595;East Coast;City without UK name
54055;Jenkintown;40.09594;-75.12517;4431;East Coast;City without UK name
54056;Lawnton;40.25842;-76.80386;3813;East Coast;City without UK name
54057;Limerick;40.23093;-75.52212;18074;East Coast;City without UK name
54058;Luzerne;41.28564;-75.90103;2850;East Coast;City without UK name
54059;Meadow Lands;40.21924;-80.22061;822;East Coast;City without UK name
54060;Montgomery;41.17036;-76.87691;1558;East Coast;City with UK name
54061;Moscow;41.33675;-75.51852;1960;East Coast;City without UK name
54062;Muhlenberg Park;40.38482;-75.94132;1420;East Coast;City without UK name
54063;New Eagle;40.20785;-79.94699;2126;East Coast;City without UK name
54064;New Stanton;40.21924;-79.60948;2129;East Coast;City without UK name
54065;Pine Grove;40.54842;-76.38468;2142;East Coast;City without UK name
54066;Reading;40.33565;-75.92687;87879;East Coast;City with UK name
54067;Reservoir;40.40674;-78.38029;0;East Coast;City without UK name
54068;Scalp Level;40.2498;-78.84891;741;East Coast;City without UK name
54069;Sheatown;41.19342;-76.01465;671;East Coast;City without UK name
54070;Shillington;40.30787;-75.96549;5265;East Coast;City with UK name
54071;Silkworth;41.2723;-76.08632;820;East Coast;City without UK name
54072;Spring House;40.18539;-75.22768;3804;East Coast;City without UK name
54073;Sunrise Lake;41.30981;-74.96656;1387;East Coast;City without UK name
54074;Treasure Lake;41.17339;-78.71586;3861;East Coast;City without UK name
54075;Woodside;40.22178;-74.87544;2425;East Coast;City without UK name
54076;Greene;41.69121;-71.7459;888;East Coast;City without UK name
54078;Graniteville;44.15117;-72.49288;784;East Coast;City without UK name
54079;Salisbury;43.89645;-73.09984;1131;East Coast;City with UK name
54080;Springfield;43.29841;-72.48231;3979;East Coast;City with UK name
54109;Arvin;35.20913;-118.82843;20876;West Coast;City without UK name
54110;Atascadero;35.48942;-120.67073;29819;West Coast;City without UK name
54111;Bolinas;37.90937;-122.68637;1620;West Coast;City without UK name
54112;Broadmoor;37.6866;-122.48275;4176;West Coast;City without UK name
54113;Cherryland;37.67938;-122.1033;14728;West Coast;City without UK name
54114;Citrus Heights;38.70712;-121.28106;87056;West Coast;City without UK name
54115;Clovis;36.82523;-119.70292;104180;West Coast;City without UK name
54116;Cohasset;39.92544;-121.73109;847;West Coast;City without UK name
54117;Colfax;39.10073;-120.95328;2005;West Coast;City without UK name
54118;Crest;32.80727;-116.86808;2593;West Coast;City without UK name
54119;Dana Point;33.46697;-117.69811;34181;West Coast;City without UK name
54120;Davis;38.54491;-121.74052;67666;West Coast;City without UK name
54121;Del Monte Forest;36.58635;-121.94746;4514;West Coast;City without UK name
54122;Delhi;37.43216;-120.77854;10755;West Coast;City without UK name
54123;East Pasadena;34.13814;-118.07384;6144;West Coast;City without UK name
54124;Eldridge;38.3488;-122.51081;1233;West Coast;City without UK name
54125;Emeryville;37.83132;-122.28525;11694;West Coast;City without UK name
54126;Granite Hills;32.80311;-116.90475;3035;West Coast;City without UK name
54127;Hollywood;34.09834;-118.32674;167664;West Coast;City without UK name
54128;Home Gardens;33.87807;-117.52088;11570;West Coast;City without UK name
54129;Indio Hills;33.83113;-116.2314;972;West Coast;City without UK name
54130;Inglewood;33.96168;-118.35313;111666;West Coast;City without UK name
54131;Inverness;38.10103;-122.85694;1304;West Coast;City with UK name
54132;Mira Mesa;32.9156;-117.14392;70000;West Coast;City without UK name
54133;Morro Bay;35.36581;-120.8499;10639;West Coast;City without UK name
54134;Mountain Ranch;38.22825;-120.54076;1628;West Coast;City without UK name
54135;Napa;38.29714;-122.28553;80434;West Coast;City without UK name
54136;Needles;34.84806;-114.61413;4984;West Coast;City without UK name
54137;North Fair Oaks;37.47438;-122.19663;14687;West Coast;City without UK name
54138;Olivehurst;39.09545;-121.55219;13656;West Coast;City without UK name
54139;Paradise;39.75961;-121.62192;26476;West Coast;City without UK name
54140;Paso Robles;35.62664;-120.691;27157;West Coast;City without UK name
54141;Planada;37.29077;-120.31852;4584;West Coast;City without UK name
54142;Pleasanton;37.66243;-121.87468;79510;West Coast;City without UK name
54143;Portola;39.81046;-120.4691;1903;West Coast;City without UK name
54144;Potter Valley;39.32211;-123.11306;646;West Coast;City without UK name
54145;San Dimas;34.10668;-117.80673;34630;West Coast;City without UK name
54146;San Joaquin Hills;33.61169;-117.83672;3176;West Coast;City without UK name
54147;Shackelford;37.61382;-120.99271;3371;West Coast;City without UK name
54148;Sleepy Hollow;38.01048;-122.58442;2384;West Coast;City without UK name
54149;Stanford;37.42411;-122.16608;13809;West Coast;City without UK name
54150;Summerland;34.42138;-119.59652;1448;West Coast;City without UK name
54151;Sunnyside;36.74912;-119.69931;4235;West Coast;City without UK name
54152;Turlock;37.49466;-120.84659;72292;West Coast;City without UK name
54153;West Point;38.39908;-120.52743;674;West Coast;City without UK name
